Date,Collection,Collection_Label,Product_Count,Regional_Product_Count,Mean,Lower_2Sigma,Upper_2Sigma
2025-10-17,HLSL30,HLSL30 (input),6406,,6568.6,3511.00198848835,9626.198011511651
2025-10-18,HLSL30,HLSL30 (input),4130,,6568.6,3511.00198848835,9626.198011511651
2025-10-19,HLSL30,HLSL30 (input),3923,,6568.6,3511.00198848835,9626.198011511651
2025-10-20,HLSL30,HLSL30 (input),4270,,6568.6,3511.00198848835,9626.198011511651
2025-10-21,HLSL30,HLSL30 (input),4423,,6568.6,3511.00198848835,9626.198011511651
2025-10-22,HLSL30,HLSL30 (input),4332,,6568.6,3511.00198848835,9626.198011511651
2025-10-23,HLSL30,HLSL30 (input),4406,,6568.6,3511.00198848835,9626.198011511651
2025-10-24,HLSL30,HLSL30 (input),6327,,6568.6,3511.00198848835,9626.198011511651
2025-10-25,HLSL30,HLSL30 (input),8181,,6568.6,3511.00198848835,9626.198011511651
2025-10-26,HLSL30,HLSL30 (input),8127,,6568.6,3511.00198848835,9626.198011511651
2025-10-27,HLSL30,HLSL30 (input),8081,,6568.6,3511.00198848835,9626.198011511651
2025-10-28,HLSL30,HLSL30 (input),7927,,6568.6,3511.00198848835,9626.198011511651
2025-10-29,HLSL30,HLSL30 (input),7989,,6568.6,3511.00198848835,9626.198011511651
2025-10-30,HLSL30,HLSL30 (input),7582,,6568.6,3511.00198848835,9626.198011511651
2025-10-31,HLSL30,HLSL30 (input),7451,,6568.6,3511.00198848835,9626.198011511651
2025-11-01,HLSL30,HLSL30 (input),7852,,6568.6,3511.00198848835,9626.198011511651
2025-11-02,HLSL30,HLSL30 (input),7872,,6568.6,3511.00198848835,9626.198011511651
2025-11-03,HLSL30,HLSL30 (input),7851,,6568.6,3511.00198848835,9626.198011511651
2025-11-04,HLSL30,HLSL30 (input),7814,,6568.6,3511.00198848835,9626.198011511651
2025-11-05,HLSL30,HLSL30 (input),7857,,6568.6,3511.00198848835,9626.198011511651
2025-11-06,HLSL30,HLSL30 (input),7320,,6568.6,3511.00198848835,9626.198011511651
2025-11-07,HLSL30,HLSL30 (input),6547,,6568.6,3511.00198848835,9626.198011511651
2025-11-08,HLSL30,HLSL30 (input),6443,,6568.6,3511.00198848835,9626.198011511651
2025-11-09,HLSL30,HLSL30 (input),6552,,6568.6,3511.00198848835,9626.198011511651
2025-11-10,HLSL30,HLSL30 (input),4552,,6568.6,3511.00198848835,9626.198011511651
2025-11-11,HLSL30,HLSL30 (input),1256,,6568.6,3511.00198848835,9626.198011511651
2025-11-12,HLSL30,HLSL30 (input),0,,6568.6,3511.00198848835,9626.198011511651
2025-11-13,HLSL30,HLSL30 (input),0,,6568.6,3511.00198848835,9626.198011511651
2025-11-14,HLSL30,HLSL30 (input),0,,6568.6,3511.00198848835,9626.198011511651
2025-11-15,HLSL30,HLSL30 (input),0,,6568.6,3511.00198848835,9626.198011511651
